# entry-subent-pointer  : A0100-024-0 
# EXFOR reaction        : (23-V-0(P,X)21-SC-46,,SIG) 
# incident energy       : 4.9830e+01 MeV - 2.0030e+02 MeV 
# target                : V-0 
# product               : Sc-46 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Michel 
# institute             : (2GERKLN): Universitaet zu Koeln, Koeln 
# reference             : (J,NP/A,441,617,1985) 
# year                  : 1985 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A01/A0100.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0100
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.0030E+02        1.4000E+00        2.2300E-02        2.0000E-03
        1.9510E+02        1.5000E+00        2.2100E-02        1.8000E-03
        1.8990E+02        1.5000E+00        2.2000E-02        1.8000E-03
        1.8440E+02        1.6000E+00        2.2100E-02        2.2000E-03
        1.7890E+02        1.6000E+00        2.1900E-02        1.8000E-03
        1.7330E+02        1.7000E+00        2.2000E-02        1.8000E-03
        1.6750E+02        1.7000E+00        2.2200E-02        1.8000E-03
        1.6680E+02        1.2000E+00        2.1600E-02        1.9000E-03
        1.6160E+02        1.7000E+00        2.2200E-02        1.8000E-03
        1.5550E+02        1.8000E+00        2.2600E-02        1.8000E-03
        1.4960E+02        1.4000E+00        2.1900E-02        2.0000E-03
        1.4200E+02        1.5000E+00        2.1800E-02        2.0000E-03
        1.3410E+02        1.5000E+00        2.1900E-02        2.2000E-03
        1.2590E+02        1.6000E+00        2.2000E-02        2.2000E-03
        1.1730E+02        1.6000E+00        2.1800E-02        2.2000E-03
        1.0880E+02        1.7000E+00        2.2100E-02        2.0000E-03
        9.9800E+01        1.7000E+00        2.2100E-02        2.0000E-03
        9.0200E+01        1.8000E+00        2.1500E-02        2.2000E-03
        8.0000E+01        1.8000E+00        1.8800E-02        1.9000E-03
        7.8880E+01        3.4000E-01        1.9200E-02        1.9000E-03
        7.4310E+01        4.3000E-01        1.8200E-02        1.8000E-03
        6.9620E+01        5.0000E-01        1.7900E-02        1.8000E-03
        6.4580E+01        5.6000E-01        1.7300E-02        1.7000E-03
        5.9370E+01        6.1000E-01        1.9700E-02        2.0000E-03
        5.3970E+01        6.6000E-01        2.5100E-02        2.3000E-03
        4.9830E+01        7.0000E-01        2.7600E-02        2.5000E-03
