# entry-subent-pointer  : D4269-010-0 
# EXFOR reaction        : ['42-MO-0', ['A,X'], '44-RU-94,,SIG'] 
# incident energy       : 2.03e+01 MeV - 3.94e+01 MeV 
# target                : Mo-0 
# product               : Ru-94 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Ditroi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,285,125,2012) 
# year                  : 2012 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D42/D4269.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4269
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.03000E+01      5.00000E-01      2.30000E-03      3.00000E-04
      2.39000E+01      5.00000E-01      3.15000E-02      3.50000E-03
      2.56000E+01      5.00000E-01      4.94000E-02      5.60000E-03
      2.72000E+01      4.00000E-01      5.35000E-02      6.00000E-03
      3.02000E+01      4.00000E-01      5.76000E-02      6.50000E-03
      3.16000E+01      4.00000E-01      5.69000E-02      6.40000E-03
      3.30000E+01      4.00000E-01      5.20000E-02      5.90000E-03
      3.44000E+01      4.00000E-01      4.46000E-02      5.00000E-03
      3.57000E+01      3.00000E-01      3.74000E-02      4.20000E-03
      3.69000E+01      3.00000E-01      3.09000E-02      3.50000E-03
      3.82000E+01      3.00000E-01      2.46000E-02      2.80000E-03
      3.94000E+01      3.00000E-01      2.03000E-02      2.50000E-03
