# entry-subent-pointer  : 20346-026-0 
# EXFOR reaction        : ['82-PB-206', ['N,EL'], '82-PB-206,,DA'] 
# incident energy       : 7.0000e+00 MeV 
# target                : Pb-206 
# product               : Pb-206 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.A.Etemad 
# institute             : (2SWDAE ): Studsvik Energiteknik AB 
# reference             : (R,AE-482,1973) 
# year                  : 1973 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/203/20346.x4 
# nds                   : https://nds.iaea.org/EXFOR/20346
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -9.40000E-01      0.00000E+00      1.90000E-02      0.00000E+00
     -8.67000E-01      0.00000E+00      2.20000E-02      0.00000E+00
     -7.68000E-01      0.00000E+00      4.50000E-02      0.00000E+00
     -6.46000E-01      0.00000E+00      5.30000E-02      0.00000E+00
     -5.04000E-01      0.00000E+00      4.20000E-02      0.00000E+00
     -3.46000E-01      0.00000E+00      2.00000E-02      0.00000E+00
     -1.78000E-01      0.00000E+00      2.80000E-02      0.00000E+00
     -5.00000E-03      0.00000E+00      8.70000E-02      0.00000E+00
      1.69000E-01      0.00000E+00      1.30000E-01      0.00000E+00
      2.54000E-01      0.00000E+00      1.06000E-01      0.00000E+00
      3.38000E-01      0.00000E+00      5.30000E-02      0.00000E+00
      4.19000E-01      0.00000E+00      1.30000E-02      0.00000E+00
      4.96000E-01      0.00000E+00      1.90000E-02      0.00000E+00
      5.70000E-01      0.00000E+00      4.40000E-02      0.00000E+00
      6.04000E-01      0.00000E+00      9.80000E-02      0.00000E+00
      7.03000E-01      0.00000E+00      1.38000E-01      0.00000E+00
      7.64000E-01      0.00000E+00      1.80000E-01      0.00000E+00
      8.16000E-01      0.00000E+00      3.24000E-01      0.00000E+00
      8.65000E-01      0.00000E+00      5.84000E-01      0.00000E+00
      9.39000E-01      0.00000E+00      2.24400E+00      0.00000E+00
