# entry-subent-pointer  : C0872-004-0 
# EXFOR reaction        : (6-C-13(P,G)7-N-14,PAR,SIG,,SFC) 
# incident energy       : 1.1240e-01 MeV - 9.4330e-01 MeV 
# target                : C-13 
# product               : N-14 
# level energy          : 3.9500e+00 MeV 
# MF-MT number          : 3 - 2 
# first author          : King 
# institute             : (1CANTOR): University of Toronto, Toronto, Ontario 
# reference             : (J,NP/A,567,354,1994) 
# year                  : 1994 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0872.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0872
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.1240E-01        0.0000E+00        8.9000E+02        2.2000E+02
        1.5080E-01        0.0000E+00        7.5000E+02        1.6000E+02
        1.6380E-01        0.0000E+00        9.0000E+02        2.7000E+02
        1.8730E-01        0.0000E+00        1.0200E+03        8.0000E+01
        2.1490E-01        0.0000E+00        1.0700E+03        5.0000E+01
        2.2500E-01        0.0000E+00        1.3800E+03        8.0000E+01
        2.4480E-01        0.0000E+00        2.3700E+03        1.2000E+02
        2.6290E-01        0.0000E+00        1.6100E+03        8.0000E+01
        2.6560E-01        0.0000E+00        1.5000E+03        6.0000E+01
        2.6840E-01        0.0000E+00        2.4800E+03        1.4000E+02
        2.9770E-01        0.0000E+00        2.6100E+03        2.4000E+02
        2.9890E-01        0.0000E+00        3.3100E+03        1.8000E+02
        3.0130E-01        0.0000E+00        2.2900E+03        8.0000E+01
        3.1700E-01        0.0000E+00        1.9300E+03        1.6000E+02
        3.4790E-01        0.0000E+00        4.4800E+03        8.5000E+02
        3.5800E-01        0.0000E+00        4.3000E+03        2.8000E+02
        3.9810E-01        0.0000E+00        6.1000E+03        1.8000E+02
        4.1540E-01        0.0000E+00        7.7200E+03        2.1000E+02
        4.3820E-01        0.0000E+00        8.9900E+03        4.3000E+02
        4.5820E-01        0.0000E+00        1.3500E+04        5.5000E+02
        4.7830E-01        0.0000E+00        1.9100E+04        5.5000E+02
        4.9830E-01        0.0000E+00        3.0100E+04        5.5000E+02
        5.1330E-01        0.0000E+00        5.3500E+04        1.1000E+03
        5.2330E-01        0.0000E+00        8.1600E+04        1.9000E+03
        5.3340E-01        0.0000E+00        1.2400E+05        3.3000E+03
        5.3840E-01        0.0000E+00        1.7170E+05        4.5000E+03
        5.4340E-01        0.0000E+00        2.0120E+05        6.2000E+03
        5.4840E-01        0.0000E+00        2.5910E+05        6.0000E+03
        5.5340E-01        0.0000E+00        2.6520E+05        2.9000E+03
        5.5840E-01        0.0000E+00        2.5500E+05        4.9000E+03
        5.6340E-01        0.0000E+00        2.1230E+05        5.8000E+03
        5.6840E-01        0.0000E+00        1.8190E+05        5.2000E+03
        5.7340E-01        0.0000E+00        1.3820E+05        4.2000E+03
        5.7840E-01        0.0000E+00        9.7600E+04        2.5000E+03
        5.8850E-01        0.0000E+00        6.3700E+04        1.6000E+03
        5.9850E-01        0.0000E+00        3.9200E+04        9.8000E+02
        6.2350E-01        0.0000E+00        1.9000E+04        4.1000E+02
        6.4850E-01        0.0000E+00        8.5800E+03        1.9000E+02
        6.9190E-01        0.0000E+00        3.9100E+03        1.0000E+02
        6.9860E-01        0.0000E+00        3.4900E+03        9.0000E+01
        7.4870E-01        0.0000E+00        1.7100E+03        6.0000E+01
        7.8400E-01        0.0000E+00        1.1500E+03        5.0000E+01
        7.9870E-01        0.0000E+00        1.0000E+03        4.0000E+01
        8.4880E-01        0.0000E+00        6.8000E+02        4.0000E+01
        8.9310E-01        0.0000E+00        5.7000E+02        4.0000E+01
        8.9880E-01        0.0000E+00        4.2000E+02        6.0000E+01
        9.4330E-01        0.0000E+00        2.9000E+02        2.0000E+01
