# entry-subent-pointer  : K2027-004-0 
# EXFOR reaction        : (23-V-51(G,X)21-SC-47,CUM,SIG,,BRA) 
# incident energy       : 4.5000e+01 MeV - 1.0000e+03 MeV 
# target                : V-51 
# product               : Sc-47 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Sarkar 
# institute             : (2JPNJPN): Japan 
# reference             : (J,RCA,55,113,1991) 
# year                  : 1991 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/K20/K2027.x4 
# nds                   : https://nds.iaea.org/EXFOR/K2027
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E+03        0.0000E+00        2.0200E-03        1.0000E-04
        9.0000E+02        0.0000E+00        1.6300E-03        6.0000E-05
        8.0000E+02        0.0000E+00        1.7700E-03        2.0000E-05
        7.0000E+02        0.0000E+00        1.3900E-03        4.0000E-05
        6.0000E+02        0.0000E+00        1.6800E-03        4.0000E-05
        5.0000E+02        0.0000E+00        1.2400E-03        2.0000E-05
        4.0000E+02        0.0000E+00        1.1100E-03        2.0000E-05
        3.0000E+02        0.0000E+00        1.2500E-03        7.0000E-05
        1.9500E+02        0.0000E+00        7.9000E-04        3.0000E-05
        1.4900E+02        0.0000E+00        7.0000E-04        2.0000E-05
        1.0400E+02        0.0000E+00        6.4000E-04        3.0000E-05
        6.5000E+01        0.0000E+00        5.5000E-04        1.0000E-05
        4.5000E+01        0.0000E+00        3.3000E-04        1.0000E-05
