# entry-subent-pointer  : D0676-004-0 
# EXFOR reaction        : (60-ND-0(P,X)61-PM-144,,SIG) 
# incident energy       : 9.9600e+00 MeV - 2.9040e+01 MeV 
# target                : Nd-0 
# product               : Pm-144 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Lebeda 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,PR/C,85,014602,2012) 
# year                  : 2012 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D06/D0676.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0676
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.9040E+01        2.0000E-01        1.1200E-01        1.2000E-02
        2.7660E+01        2.0000E-01        1.4000E-01        1.5000E-02
        2.6220E+01        2.0000E-01        1.5600E-01        1.7000E-02
        2.5180E+01        2.0000E-01        1.8200E-01        2.0000E-02
        2.3630E+01        2.0000E-01        1.7700E-01        1.9000E-02
        2.2000E+01        2.0000E-01        1.5500E-01        1.7000E-02
        2.1380E+01        2.0000E-01        1.6100E-01        1.8000E-02
        2.0100E+01        2.0000E-01        1.3000E-01        1.4000E-02
        1.9080E+01        2.0000E-01        1.0400E-01        1.1000E-02
        1.8600E+01        2.0000E-01        1.1300E-01        1.2000E-02
        1.7520E+01        2.0000E-01        9.5900E-02        1.0500E-02
        1.6380E+01        2.0000E-01        9.3700E-02        1.0200E-02
        1.5500E+01        2.0000E-01        9.1000E-02        9.9000E-03
        1.4250E+01        2.0000E-01        8.6500E-02        9.4000E-03
        1.2920E+01        2.0000E-01        8.5100E-02        9.3000E-03
        1.1530E+01        2.0000E-01        1.0000E-01        1.1000E-02
        9.9600E+00        2.0000E-01        9.4200E-02        1.0300E-02
