# entry-subent-pointer  : D0676-016-0 
# EXFOR reaction        : (60-ND-0(P,X)59-PR-139,,SIG) 
# incident energy       : 1.1530e+01 MeV - 2.9040e+01 MeV 
# target                : Nd-0 
# product               : Pr-139 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Lebeda 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,PR/C,85,014602,2012) 
# year                  : 2012 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D06/D0676.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0676
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.9040E+01        2.0000E-01        3.0700E-03        3.4000E-04
        2.7660E+01        2.0000E-01        2.7100E-03        3.0000E-04
        2.6220E+01        2.0000E-01        2.2800E-03        2.5000E-04
        2.5180E+01        2.0000E-01        2.3400E-03        2.6000E-04
        2.3630E+01        2.0000E-01        2.1400E-03        2.4000E-04
        2.2000E+01        2.0000E-01        1.8500E-03        2.0000E-04
        2.1380E+01        2.0000E-01        1.8800E-03        2.1000E-04
        2.0100E+01        2.0000E-01        1.5300E-03        1.7000E-04
        1.9080E+01        2.0000E-01        1.1600E-03        1.3000E-04
        1.8600E+01        2.0000E-01        1.2700E-03        1.4000E-04
        1.7520E+01        2.0000E-01        9.4000E-04        1.0500E-04
        1.6380E+01        2.0000E-01        5.6300E-04        6.5000E-05
        1.5500E+01        2.0000E-01        4.7500E-04        5.4000E-05
        1.4250E+01        2.0000E-01        2.3100E-04        2.9000E-05
        1.2920E+01        2.0000E-01        1.0300E-04        1.7000E-05
        1.1530E+01        2.0000E-01        4.7400E-05        1.2500E-05
