# entry-subent-pointer  : E2492-005-0 
# EXFOR reaction        : ['28-NI-0', ['D,X'], '27-CO-58,,SIG'] 
# incident energy       : 1.79e+00 MeV - 2.37e+01 MeV 
# target                : Ni-0 
# product               : Co-58 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : A.R.Usman 
# institute             : (3MALMAL): Malaysia 
# reference             : (J,NIM/B,368,112,2016) 
# year                  : 2016 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E24/E2492.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2492
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.37100E+01      4.90000E-01      1.83000E-01      1.20000E-02
      2.30400E+01      4.80000E-01      1.92000E-01      1.30000E-02
      2.19400E+01      5.10000E-01      1.95000E-01      1.30000E-02
      2.17500E+01      5.10000E-01      2.12000E-01      1.40000E-02
      2.06700E+01      5.10000E-01      2.23000E-01      1.50000E-02
      1.93100E+01      3.30000E-01      2.26000E-01      1.50000E-02
      1.81000E+01      5.40000E-01      2.17000E-01      1.50000E-02
      1.74500E+01      5.40000E-01      2.29000E-01      1.60000E-02
      1.54800E+01      5.70000E-01      2.15000E-01      1.60000E-02
      1.46700E+01      6.10000E-01      1.83000E-01      1.20000E-02
      1.41500E+01      6.00000E-01      2.02000E-01      1.40000E-02
      1.27700E+01      6.50000E-01      1.54000E-01      1.00000E-02
      1.13500E+01      6.60000E-01      1.37000E-01      9.00000E-03
      9.82000E+00      5.40000E-01      6.72000E-02      4.60000E-03
      9.15000E+00      7.40000E-01      6.03000E-02      4.10000E-03
      7.17000E+00      8.60000E-01      1.27000E-02      9.00000E-04
      4.43000E+00      9.70000E-01      2.68000E-03      1.80000E-04
      1.79000E+00      1.11000E+00      1.25000E-03      9.00000E-05
