# entry-subent-pointer  : 11668--00-3-0 
# EXFOR reaction        : ['27-CO-59', ['N,TOT'], ',,SIG'] 
# incident energy       : 8.00e-02 MeV - 9.94e-01 MeV 
# target                : Co-59 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : W.F.Stubbins 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,PR,84,902,1951) 
# year                  : 1951 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/116/11668.x4 
# nds                   : https://nds.iaea.org/EXFOR/11668
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      8.00000E-02      0.00000E+00      4.87000E+00              NAN
      8.75000E-02      0.00000E+00      4.42000E+00              NAN
      9.30000E-02      0.00000E+00      4.07000E+00              NAN
      9.90000E-02      0.00000E+00      5.60000E+00              NAN
      1.05000E-01      0.00000E+00      6.89000E+00              NAN
      1.05000E-01      0.00000E+00      8.05000E+00              NAN
      1.09000E-01      0.00000E+00      8.07000E+00              NAN
      1.15000E-01      0.00000E+00      6.67000E+00              NAN
      1.20000E-01      0.00000E+00      5.36000E+00              NAN
      1.30000E-01      0.00000E+00      6.82000E+00              NAN
      1.30000E-01      0.00000E+00      5.88000E+00              NAN
      1.34000E-01      0.00000E+00      6.51000E+00              NAN
      1.37000E-01      0.00000E+00      6.00000E+00              NAN
      1.42000E-01      0.00000E+00      6.64000E+00              NAN
      1.46000E-01      0.00000E+00      5.71000E+00              NAN
      1.47000E-01      0.00000E+00      6.40000E+00              NAN
      1.52000E-01      0.00000E+00      4.85000E+00              NAN
      1.65000E-01      0.00000E+00      5.17000E+00              NAN
      1.79000E-01      0.00000E+00      4.46000E+00              NAN
      1.81000E-01      0.00000E+00      4.60000E+00              NAN
      1.81000E-01      0.00000E+00      4.68000E+00              NAN
      1.97000E-01      0.00000E+00      5.17000E+00              NAN
      2.12000E-01      0.00000E+00      6.07000E+00              NAN
      2.12000E-01      0.00000E+00      5.64000E+00              NAN
      2.12000E-01      0.00000E+00      6.15000E+00              NAN
      2.17000E-01      0.00000E+00      5.94000E+00              NAN
      2.25000E-01      0.00000E+00      5.97000E+00              NAN
      2.41000E-01      0.00000E+00      4.66000E+00              NAN
      2.42000E-01      0.00000E+00      4.93000E+00              NAN
      2.52500E-01      0.00000E+00      4.19000E+00              NAN
      2.52500E-01      0.00000E+00      4.44000E+00              NAN
      2.71000E-01      0.00000E+00      4.72000E+00              NAN
      2.71000E-01      0.00000E+00      4.56000E+00              NAN
      2.86000E-01      0.00000E+00      4.74000E+00              NAN
      2.87000E-01      0.00000E+00      5.27000E+00              NAN
      2.96000E-01      0.00000E+00      4.90000E+00              NAN
      2.98000E-01      0.00000E+00      4.87000E+00              NAN
      3.02000E-01      0.00000E+00      4.58000E+00              NAN
      3.07000E-01      0.00000E+00      4.32000E+00              NAN
      3.08000E-01      0.00000E+00      4.18000E+00              NAN
      3.10000E-01      0.00000E+00      3.85000E+00              NAN
      3.18000E-01      0.00000E+00      3.22000E+00              NAN
      3.22000E-01      0.00000E+00      3.78000E+00              NAN
      3.22000E-01      0.00000E+00      4.30000E+00              NAN
      3.28000E-01      0.00000E+00      4.94000E+00              NAN
      3.34000E-01      0.00000E+00      4.62000E+00              NAN
      3.34000E-01      0.00000E+00      5.21000E+00              NAN
      3.40000E-01      0.00000E+00      4.86000E+00              NAN
      3.45000E-01      0.00000E+00      4.32000E+00              NAN
      3.49000E-01      0.00000E+00      4.88000E+00              NAN
      3.50000E-01      0.00000E+00      4.38000E+00              NAN
      3.54000E-01      0.00000E+00      4.48000E+00              NAN
      3.62000E-01      0.00000E+00      4.58000E+00              NAN
      3.70000E-01      0.00000E+00      4.50000E+00              NAN
      3.75000E-01      0.00000E+00      4.72000E+00              NAN
      3.80000E-01      0.00000E+00      4.75000E+00              NAN
      3.85000E-01      0.00000E+00      4.38000E+00              NAN
      3.88000E-01      0.00000E+00      3.67000E+00              NAN
      3.90000E-01      0.00000E+00      4.71000E+00              NAN
      3.95000E-01      0.00000E+00      3.85000E+00              NAN
      3.99000E-01      0.00000E+00      3.50000E+00              NAN
      4.05000E-01      0.00000E+00      3.12000E+00              NAN
      4.08000E-01      0.00000E+00      3.07000E+00              NAN
      4.16000E-01      0.00000E+00      3.88000E+00              NAN
      4.23000E-01      0.00000E+00      4.47000E+00              NAN
      4.27000E-01      0.00000E+00      4.62000E+00              NAN
      4.35000E-01      0.00000E+00      4.40000E+00              NAN
      4.38000E-01      0.00000E+00      4.56000E+00              NAN
      4.43000E-01      0.00000E+00      4.95000E+00              NAN
      4.47000E-01      0.00000E+00      3.25000E+00              NAN
      4.51000E-01      0.00000E+00      4.05000E+00              NAN
      4.53000E-01      0.00000E+00      3.90000E+00              NAN
      4.57000E-01      0.00000E+00      4.08000E+00              NAN
      4.64000E-01      0.00000E+00      4.60000E+00              NAN
      4.65000E-01      0.00000E+00      4.95000E+00              NAN
      4.72000E-01      0.00000E+00      5.17000E+00              NAN
      4.77000E-01      0.00000E+00      4.99000E+00              NAN
      4.78000E-01      0.00000E+00      4.72000E+00              NAN
      4.82000E-01      0.00000E+00      4.61000E+00              NAN
      4.93000E-01      0.00000E+00      4.62000E+00              NAN
      5.01000E-01      0.00000E+00      4.31000E+00              NAN
      5.02000E-01      0.00000E+00      3.78000E+00              NAN
      5.03000E-01      0.00000E+00      4.47000E+00              NAN
      5.03000E-01      0.00000E+00      4.58000E+00              NAN
      5.07000E-01      0.00000E+00      4.19000E+00              NAN
      5.13000E-01      0.00000E+00      4.18000E+00              NAN
      5.14000E-01      0.00000E+00      4.30000E+00              NAN
      5.29000E-01      0.00000E+00      3.65000E+00              NAN
      5.30000E-01      0.00000E+00      3.86000E+00              NAN
      5.36000E-01      0.00000E+00      3.65000E+00              NAN
      5.40000E-01      0.00000E+00      3.78000E+00              NAN
      5.40000E-01      0.00000E+00      3.55000E+00              NAN
      5.45000E-01      0.00000E+00      3.42000E+00              NAN
      5.50000E-01      0.00000E+00      2.95000E+00              NAN
      5.54000E-01      0.00000E+00      3.42000E+00              NAN
      5.56000E-01      0.00000E+00      3.08000E+00              NAN
      5.58000E-01      0.00000E+00      3.30000E+00              NAN
      5.67000E-01      0.00000E+00      3.82000E+00              NAN
      5.70000E-01      0.00000E+00      4.03000E+00              NAN
      5.78000E-01      0.00000E+00      3.85000E+00              NAN
      5.79000E-01      0.00000E+00      3.96000E+00              NAN
      5.92000E-01      0.00000E+00      3.83000E+00              NAN
      6.04000E-01      0.00000E+00      3.54000E+00              NAN
      6.10000E-01      0.00000E+00      3.65000E+00              NAN
      6.17000E-01      0.00000E+00      3.55000E+00              NAN
      6.17500E-01      0.00000E+00      3.68000E+00              NAN
      6.28000E-01      0.00000E+00      4.10000E+00              NAN
      6.29000E-01      0.00000E+00      3.99000E+00              NAN
      6.40000E-01      0.00000E+00      3.60000E+00              NAN
      6.41000E-01      0.00000E+00      3.73000E+00              NAN
      6.53000E-01      0.00000E+00      4.04000E+00              NAN
      6.64000E-01      0.00000E+00      4.06000E+00              NAN
      6.65000E-01      0.00000E+00      4.20000E+00              NAN
      6.77000E-01      0.00000E+00      4.18000E+00              NAN
      6.77000E-01      0.00000E+00      3.90000E+00              NAN
      6.78000E-01      0.00000E+00      4.03000E+00              NAN
      6.79000E-01      0.00000E+00      4.27000E+00              NAN
      6.92500E-01      0.00000E+00      4.38000E+00              NAN
      7.04000E-01      0.00000E+00      3.78000E+00              NAN
      7.16000E-01      0.00000E+00      3.95000E+00              NAN
      7.27000E-01      0.00000E+00      3.47000E+00              NAN
      7.28000E-01      0.00000E+00      3.17000E+00              NAN
      7.42000E-01      0.00000E+00      3.75000E+00              NAN
      7.47000E-01      0.00000E+00      3.45000E+00              NAN
      7.52000E-01      0.00000E+00      3.27000E+00              NAN
      7.52000E-01      0.00000E+00      3.48000E+00              NAN
      7.65000E-01      0.00000E+00      3.50000E+00              NAN
      7.76000E-01      0.00000E+00      3.51000E+00              NAN
      7.76000E-01      0.00000E+00      3.72000E+00              NAN
      7.87000E-01      0.00000E+00      3.65000E+00              NAN
      7.96000E-01      0.00000E+00      3.42000E+00              NAN
      7.98000E-01      0.00000E+00      3.46000E+00              NAN
      7.99000E-01      0.00000E+00      2.89000E+00              NAN
      7.99000E-01      0.00000E+00      3.57000E+00              NAN
      8.03000E-01      0.00000E+00      3.27000E+00              NAN
      8.11000E-01      0.00000E+00      3.44000E+00              NAN
      8.24000E-01      0.00000E+00      2.90000E+00              NAN
      8.25000E-01      0.00000E+00      3.28000E+00              NAN
      8.34000E-01      0.00000E+00      3.35000E+00              NAN
      8.37000E-01      0.00000E+00      3.61000E+00              NAN
      8.43000E-01      0.00000E+00      3.24000E+00              NAN
      8.48000E-01      0.00000E+00      3.00000E+00              NAN
      8.49000E-01      0.00000E+00      3.36000E+00              NAN
      8.56000E-01      0.00000E+00      3.02000E+00              NAN
      8.58000E-01      0.00000E+00      3.60000E+00              NAN
      8.60000E-01      0.00000E+00      3.23000E+00              NAN
      8.64000E-01      0.00000E+00      3.61000E+00              NAN
      8.72000E-01      0.00000E+00      3.57000E+00              NAN
      8.72500E-01      0.00000E+00      2.92000E+00              NAN
      8.72500E-01      0.00000E+00      3.33000E+00              NAN
      8.72500E-01      0.00000E+00      3.44000E+00              NAN
      8.73000E-01      0.00000E+00      3.78000E+00              NAN
      8.79000E-01      0.00000E+00      3.85000E+00              NAN
      8.84000E-01      0.00000E+00      3.60000E+00              NAN
      8.85000E-01      0.00000E+00      3.75000E+00              NAN
      8.92000E-01      0.00000E+00      3.48000E+00              NAN
      8.96000E-01      0.00000E+00      3.76000E+00              NAN
      9.02000E-01      0.00000E+00      3.21000E+00              NAN
      9.07000E-01      0.00000E+00      2.90000E+00              NAN
      9.09000E-01      0.00000E+00      3.04000E+00              NAN
      9.13000E-01      0.00000E+00      3.16000E+00              NAN
      9.19000E-01      0.00000E+00      3.39000E+00              NAN
      9.20000E-01      0.00000E+00      3.29000E+00              NAN
      9.22000E-01      0.00000E+00      3.47000E+00              NAN
      9.33000E-01      0.00000E+00      2.87000E+00              NAN
      9.34000E-01      0.00000E+00      3.10000E+00              NAN
      9.38000E-01      0.00000E+00      3.41000E+00              NAN
      9.45000E-01      0.00000E+00      3.00000E+00              NAN
      9.56000E-01      0.00000E+00      3.25000E+00              NAN
      9.57500E-01      0.00000E+00      3.65000E+00              NAN
      9.68000E-01      0.00000E+00      3.30000E+00              NAN
      9.80000E-01      0.00000E+00      3.10000E+00              NAN
      9.81000E-01      0.00000E+00      3.46000E+00              NAN
      9.92000E-01      0.00000E+00      3.48000E+00              NAN
      9.94000E-01      0.00000E+00      3.31000E+00              NAN
