# entry-subent-pointer  : 22963-009-0 
# EXFOR reaction        : ['72-HF-182', ['N,G'], '72-HF-183,,SIG,,MXW'] 
# incident energy       : 5.00e-03 MeV - 1.00e-01 MeV 
# target                : Hf-182 
# product               : Hf-183 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : C.Vockenhuber 
# institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
# reference             : (J,PR/C,75,015804,2007) 
# year                  : 2007 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/229/22963.x4 
# nds                   : https://nds.iaea.org/EXFOR/22963
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      5.00000E-03      0.00000E+00      3.52000E-01      0.00000E+00
      1.00000E-02      0.00000E+00      2.38000E-01      0.00000E+00
      1.50000E-02      0.00000E+00      1.95000E-01      0.00000E+00
      2.00000E-02      0.00000E+00      1.71000E-01      0.00000E+00
      2.50000E-02      0.00000E+00      1.54000E-01      0.00000E+00
      3.00000E-02      0.00000E+00      1.41000E-01      8.00000E-03
      4.00000E-02      0.00000E+00      1.20000E-01      0.00000E+00
      5.00000E-02      0.00000E+00      1.04000E-01      0.00000E+00
      6.00000E-02      0.00000E+00      9.20000E-02      0.00000E+00
      8.00000E-02      0.00000E+00      7.50000E-02      0.00000E+00
      1.00000E-01      0.00000E+00      6.40000E-02      0.00000E+00
