# entry-subent-pointer  : 22974-026-0 
# EXFOR reaction        : ['29-CU-0', ['N,X'], '0-NN-1,EM,DE'] 
# incident energy       : 1.09e+01 MeV 
# target                : Cu-0 
# product               : Nn-1 
# level energy          : 1.62e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : D.Schmidt 
# institute             : (2GERPTB): Physikal. Techn. Bundesanst., Braunschweig 
# reference             : (R,PTB-N-52,2006) 
# year                  : 2006 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/229/22974.x4 
# nds                   : https://nds.iaea.org/EXFOR/22974
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.62500E+00      0.00000E+00      3.55260E-07      1.36775E-08
      1.87500E+00      0.00000E+00      3.36300E-07      1.23758E-08
      2.12500E+00      0.00000E+00      2.73550E-07      1.04496E-08
      2.37500E+00      0.00000E+00      3.01060E-07      1.10489E-08
      2.62500E+00      0.00000E+00      3.03020E-07      7.45429E-09
      2.87500E+00      0.00000E+00      2.34800E-07      6.03436E-09
      3.12500E+00      0.00000E+00      2.10960E-07      5.42167E-09
      3.37500E+00      0.00000E+00      1.69600E-07      4.64704E-09
      3.62500E+00      0.00000E+00      1.46440E-07      4.05639E-09
      3.87500E+00      0.00000E+00      1.33420E-07      3.65571E-09
      4.25000E+00      0.00000E+00      1.19470E-07      2.73586E-09
      4.75000E+00      0.00000E+00      9.71590E-08      2.28324E-09
      5.25000E+00      0.00000E+00      7.92830E-08      1.99000E-09
      5.75000E+00      0.00000E+00      6.06870E-08      1.67496E-09
      6.25000E+00      0.00000E+00      4.70290E-08      1.40146E-09
      6.75000E+00      0.00000E+00      4.57410E-08      1.40882E-09
      7.25000E+00      0.00000E+00      4.05420E-08      1.26896E-09
      7.75000E+00      0.00000E+00      2.90630E-08      1.15961E-09
      8.50000E+00      0.00000E+00      2.19760E-08      7.29603E-10
      9.50000E+00      0.00000E+00      5.87430E-09      1.45095E-10
