# entry-subent-pointer  : 40663-009-0 
# EXFOR reaction        : (28-NI-0(N,G),,SIG,,SDT) 
# incident energy       : 3.0000e-05 MeV - 3.2000e-02 MeV 
# target                : Ni-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Kapchigashev 
# institute             : (4RUSLEB): Fiz.Institute Lebedev (FIAN), Moskva 
# reference             : (J,AE,15,120,1963) 
# year                  : 1963 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40663.x4 
# nds                   : https://nds.iaea.org/EXFOR/40663
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.0000E-05        0.0000E+00        1.3800E-01        0.0000E+00
        3.2000E-05        0.0000E+00        1.4200E-01        0.0000E+00
        3.4000E-05        0.0000E+00        1.3000E-01        0.0000E+00
        3.5000E-05        0.0000E+00        1.1200E-01        0.0000E+00
        3.7000E-05        0.0000E+00        1.1800E-01        0.0000E+00
        4.0000E-05        0.0000E+00        1.0000E-01        0.0000E+00
        4.5000E-05        0.0000E+00        1.0500E-01        0.0000E+00
        5.0000E-05        0.0000E+00        1.0400E-01        0.0000E+00
        5.5000E-05        0.0000E+00        1.0000E-01        0.0000E+00
        6.0000E-05        0.0000E+00        9.8000E-02        0.0000E+00
        6.5000E-05        0.0000E+00        8.7000E-02        0.0000E+00
        7.0000E-05        0.0000E+00        8.4000E-02        0.0000E+00
        7.5000E-05        0.0000E+00        8.6000E-02        0.0000E+00
        8.2000E-05        0.0000E+00        7.8000E-02        0.0000E+00
        9.0000E-05        0.0000E+00        8.0000E-02        0.0000E+00
        9.5000E-05        0.0000E+00        8.4000E-02        0.0000E+00
        1.0000E-04        0.0000E+00        8.7000E-02        0.0000E+00
        1.1000E-04        0.0000E+00        9.0000E-02        0.0000E+00
        1.1700E-04        0.0000E+00        8.6000E-02        0.0000E+00
        1.2000E-04        0.0000E+00        9.6000E-02        0.0000E+00
        1.2500E-04        0.0000E+00        8.3000E-02        0.0000E+00
        1.3000E-04        0.0000E+00        1.0500E-01        0.0000E+00
        1.4000E-04        0.0000E+00        1.1000E-01        0.0000E+00
        1.5000E-04        0.0000E+00        1.0000E-01        0.0000E+00
        1.5500E-04        0.0000E+00        9.7000E-02        0.0000E+00
        1.6500E-04        0.0000E+00        7.6000E-02        0.0000E+00
        1.7500E-04        0.0000E+00        7.0000E-02        0.0000E+00
        1.8000E-04        0.0000E+00        6.0000E-02        0.0000E+00
        2.0000E-04        0.0000E+00        5.7000E-02        0.0000E+00
        2.1500E-04        0.0000E+00        5.9000E-02        0.0000E+00
        2.3000E-04        0.0000E+00        5.2000E-02        0.0000E+00
        2.5000E-04        0.0000E+00        4.5000E-02        0.0000E+00
        2.7000E-04        0.0000E+00        4.8000E-02        0.0000E+00
        2.9000E-04        0.0000E+00        4.2000E-02        0.0000E+00
        3.1000E-04        0.0000E+00        4.4000E-02        0.0000E+00
        3.4000E-04        0.0000E+00        4.3000E-02        0.0000E+00
        3.7000E-04        0.0000E+00        3.7000E-02        0.0000E+00
        4.2000E-04        0.0000E+00        3.8000E-02        0.0000E+00
        4.5000E-04        0.0000E+00        3.5000E-02        0.0000E+00
        5.0000E-04        0.0000E+00        3.2000E-02        0.0000E+00
        5.4000E-04        0.0000E+00        3.4000E-02        0.0000E+00
        6.0000E-04        0.0000E+00        3.4000E-02        0.0000E+00
        6.8000E-04        0.0000E+00        2.9000E-02        0.0000E+00
        7.6000E-04        0.0000E+00        2.4000E-02        0.0000E+00
        8.5000E-04        0.0000E+00        2.3000E-02        0.0000E+00
        9.9000E-04        0.0000E+00        2.5000E-02        0.0000E+00
        1.1100E-03        0.0000E+00        2.3500E-02        0.0000E+00
        1.2000E-03        0.0000E+00        2.1000E-02        0.0000E+00
        1.3000E-03        0.0000E+00        2.0500E-02        0.0000E+00
        1.4000E-03        0.0000E+00        2.2000E-02        0.0000E+00
        1.5000E-03        0.0000E+00        2.0300E-02        3.7000E-03
        1.6000E-03        0.0000E+00        2.7000E-02        1.0000E-03
        1.8000E-03        0.0000E+00        2.3000E-02        2.0000E-03
        1.9500E-03        0.0000E+00        3.0000E-02        0.0000E+00
        2.2000E-03        0.0000E+00        3.2000E-02        4.0000E-03
        2.4500E-03        0.0000E+00        3.1000E-02        0.0000E+00
        2.7000E-03        0.0000E+00        2.7500E-02        0.0000E+00
        3.2000E-03        0.0000E+00        2.5000E-02        5.0000E-03
        3.4000E-03        0.0000E+00        2.2000E-02        0.0000E+00
        4.1000E-03        0.0000E+00        1.9000E-02        0.0000E+00
        4.7500E-03        0.0000E+00        1.8000E-02        0.0000E+00
        5.5000E-03        0.0000E+00        1.6500E-02        2.5000E-03
        6.6000E-03        0.0000E+00        1.4000E-02        0.0000E+00
        8.0000E-03        0.0000E+00        1.3500E-02        0.0000E+00
        9.5000E-03        0.0000E+00        1.6500E-02        3.5000E-03
        1.2500E-02        0.0000E+00        2.1500E-02        0.0000E+00
        1.6000E-02        0.0000E+00        2.3500E-02        0.0000E+00
        2.1000E-02        0.0000E+00        2.1000E-02        2.0000E-04
        3.2000E-02        0.0000E+00        1.6000E-02        0.0000E+00
