# entry-subent-pointer  : D4346--00-3-0 
# EXFOR reaction        : ['80-HG-0', ['P,X'], '81-TL-196-M,,SIG'] 
# incident energy       : 2.25e+01 MeV - 3.35e+01 MeV 
# target                : Hg-0 
# product               : Tl-196-M 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : A.Hermanne 
# institute             : (2BLGVUB): Vrije Universiteit Brussels, Brussels 
# reference             : (J,NIM/B,378,12,2016) 
# year                  : 2016 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D43/D4346.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4346
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.25000E+01      1.00000E+00      2.50000E-02      3.00000E-03
      2.35000E+01      9.00000E-01      2.50000E-02      3.00000E-03
      2.44000E+01      8.00000E-01      4.90000E-02      6.00000E-03
      2.53000E+01      7.00000E-01      8.00000E-02      1.00000E-02
      2.62000E+01      6.00000E-01      9.40000E-02      1.10000E-02
      2.71000E+01      6.00000E-01      1.20000E-01      1.40000E-02
      2.79000E+01      5.00000E-01      1.42000E-01      1.70000E-02
      2.88000E+01      5.00000E-01      1.50000E-01      1.80000E-02
      2.96000E+01      4.00000E-01      1.66000E-01      2.00000E-02
      3.04000E+01      4.00000E-01      1.77000E-01      2.10000E-02
      3.12000E+01      3.00000E-01      1.94000E-01      2.30000E-02
      3.19000E+01      3.00000E-01      1.92000E-01      2.30000E-02
      3.27000E+01      2.00000E-01      2.50000E-01      3.00000E-02
      3.35000E+01      2.00000E-01      2.72000E-01      3.30000E-02
