# entry-subent-pointer  : D0219--00-3-0 
# EXFOR reaction        : ['6-C-12', ['A,INL'], '6-C-12,PAR,DA'] 
# incident energy       : 1.37e+03 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : 4.43e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : A.Chaumeaux 
# institute             : (2FR SAT): Laboratoire National SATURNE, Saclay 
# reference             : (J,NP/A,267,413,1976) 
# year                  : 1976 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D02/D0219.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0219
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.50000E+00      0.00000E+00      9.98000E-02      9.98000E-03
      5.20000E+00      0.00000E+00      5.58000E-02      5.58000E-03
      5.90000E+00      0.00000E+00      2.85000E-02      2.85000E-03
      5.95000E+00      0.00000E+00      2.31000E-02      2.31000E-03
      6.60000E+00      0.00000E+00      1.11000E-02      1.11000E-03
      6.63000E+00      0.00000E+00      8.13000E-03      8.13000E-04
      7.26000E+00      0.00000E+00      2.80000E-03      2.80000E-04
      7.30000E+00      0.00000E+00      1.40000E-03      1.40000E-04
      8.00000E+00      0.00000E+00      8.00000E-04      8.00000E-05
      8.68000E+00      0.00000E+00      2.34000E-03      2.34000E-04
      8.78000E+00      0.00000E+00      2.80000E-03      2.80000E-04
      9.41000E+00      0.00000E+00      3.68000E-03      3.68000E-04
      9.47000E+00      0.00000E+00      3.86000E-03      3.86000E-04
      1.01000E+01      0.00000E+00      3.53000E-03      3.53000E-04
      1.01500E+01      0.00000E+00      3.26000E-03      3.26000E-04
      1.08300E+01      0.00000E+00      2.37000E-03      2.37000E-04
      1.08900E+01      0.00000E+00      2.07000E-03      2.07000E-04
      1.15200E+01      0.00000E+00      1.03000E-03      1.03000E-04
      1.15700E+01      0.00000E+00      8.70000E-04      8.70000E-05
      1.20600E+01      0.00000E+00      4.56000E-04      4.56000E-05
      1.27000E+01      0.00000E+00      1.30000E-04      1.30000E-05
      1.30000E+01      0.00000E+00      7.80000E-05      7.80000E-06
      1.30500E+01      0.00000E+00      7.20000E-05      7.20000E-06
      1.36600E+01      0.00000E+00      1.00000E-04      1.00000E-05
      1.37200E+01      0.00000E+00      1.03000E-04      1.03000E-05
      1.44000E+01      0.00000E+00      1.50000E-04      1.50000E-05
      1.45500E+01      0.00000E+00      1.68000E-04      1.68000E-05
      1.50800E+01      0.00000E+00      1.66000E-04      1.66000E-05
      1.51400E+01      0.00000E+00      1.74000E-04      1.74000E-05
      1.57600E+01      0.00000E+00      1.42000E-04      1.42000E-05
      1.58200E+01      0.00000E+00      1.43000E-04      1.43000E-05
      1.58900E+01      0.00000E+00      1.47000E-04      1.47000E-05
      1.65000E+01      0.00000E+00      9.60000E-05      9.60000E-06
      1.65500E+01      0.00000E+00      9.60000E-05      9.60000E-06
      1.71600E+01      0.00000E+00      5.60000E-05      5.60000E-06
      1.72300E+01      0.00000E+00      5.60000E-05      5.60000E-06
      1.73000E+01      0.00000E+00      5.50000E-05      5.50000E-06
      1.79000E+01      0.00000E+00      2.70000E-05      2.70000E-06
      1.86400E+01      0.00000E+00      1.19000E-05      1.19000E-06
      1.93100E+01      0.00000E+00      6.80000E-06      6.80000E-07
      1.93800E+01      0.00000E+00      6.40000E-06      6.40000E-07
      2.00000E+01      0.00000E+00      5.70000E-06      5.70000E-07
      2.00500E+01      0.00000E+00      6.30000E-06      6.30000E-07
      2.07300E+01      0.00000E+00      5.90000E-06      5.90000E-07
      2.14000E+01      0.00000E+00      5.60000E-06      5.60000E-07
