# entry-subent-pointer  : O1214-004-2 
# EXFOR reaction        : ['45-RH-103', ['A,3N'], '47-AG-104-M,,SIG'] 
# incident energy       : 2.93e+01 MeV - 8.12e+01 MeV 
# target                : Rh-103 
# product               : Ag-104-M 
# level energy          : - 
# MF-MT number          : 3 - 17 
# first author          : G.W.A.Newton 
# institute             : (2UK MAN): University of Manchester, England 
# reference             : (J,JIN,43,2227,1981) 
# year                  : 1981 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O12/O1214.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1214
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.93000E+01      0.00000E+00      2.62000E-02      0.00000E+00
      3.05000E+01      0.00000E+00      3.58000E-02      0.00000E+00
      3.42000E+01      0.00000E+00      1.88200E-01      0.00000E+00
      3.56000E+01      0.00000E+00      1.46700E-01      0.00000E+00
      3.73000E+01      0.00000E+00      1.68400E-01      0.00000E+00
      3.84000E+01      0.00000E+00      1.60600E-01      0.00000E+00
      4.98400E+01      0.00000E+00      8.59000E-02      0.00000E+00
      5.47700E+01      0.00000E+00      4.47000E-02      0.00000E+00
      5.68000E+01      0.00000E+00      3.61000E-02      0.00000E+00
      5.86200E+01      0.00000E+00      2.07000E-02      0.00000E+00
      6.47900E+01      0.00000E+00      2.94000E-02      0.00000E+00
      7.24100E+01      0.00000E+00      2.76000E-02      0.00000E+00
      8.12300E+01      0.00000E+00      1.60000E-02      0.00000E+00
