# entry-subent-pointer  : O0852-002-0 
# EXFOR reaction        : ['6-C-12', ['P,EL'], '6-C-12,,DA'] 
# incident energy       : 2.5500e+00 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : S.Mazzoni 
# institute             : (2ITYFIR): Universita degli Studi di Firenze + INFN Firenze 
# reference             : (J,NIM/B,136-138,86,1998) 
# year                  : 1998 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O08/O0852.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0852
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.00000E+02      0.00000E+00      1.29000E-01      5.16000E-03
      1.05000E+02      0.00000E+00      1.25000E-01      5.00000E-03
      1.10000E+02      0.00000E+00      1.23000E-01      4.92000E-03
      1.15000E+02      0.00000E+00      1.15000E-01      4.60000E-03
      1.20000E+02      0.00000E+00      1.14000E-01      4.56000E-03
      1.25000E+02      0.00000E+00      1.07000E-01      4.28000E-03
      1.30000E+02      0.00000E+00      1.02000E-01      4.08000E-03
      1.35000E+02      0.00000E+00      9.96000E-02      3.98400E-03
      1.40000E+02      0.00000E+00      9.28000E-02      3.71200E-03
      1.45000E+02      0.00000E+00      8.79000E-02      3.51600E-03
      1.50000E+02      0.00000E+00      8.28000E-02      3.31200E-03
      1.55000E+02      0.00000E+00      7.98000E-02      3.19200E-03
      1.60000E+02      0.00000E+00      7.72000E-02      3.08800E-03
      1.65000E+02      0.00000E+00      7.24000E-02      2.89600E-03
      1.70000E+02      0.00000E+00      7.05000E-02      2.82000E-03
