# entry-subent-pointer  : 22961-021-0 
# EXFOR reaction        : ['22-TI-0', ['N,X'], '0-NN-1,,DE'] 
# incident energy       : 8.9100e+00 MeV 
# target                : Ti-0 
# product               : Nn-1 
# level energy          : 1.5000e+00 MeV 
# MF-MT number          : 5 - None 
# first author          : D.Schmidt 
# institute             : (2GERPTB): Physikalisch-Technische Bundesanstalt, Braunschweig 
# reference             : (R,PTB-N-50,2006) 
# year                  : 2006 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/229/22961.x4 
# nds                   : https://nds.iaea.org/EXFOR/22961
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.50000E+00      0.00000E+00      2.34440E-07      1.02216E-08
      1.75000E+00      0.00000E+00      2.46400E-07      9.78208E-09
      2.00000E+00      0.00000E+00      2.66050E-07      9.09891E-09
      2.25000E+00      0.00000E+00      2.69790E-07      8.52536E-09
      2.50000E+00      0.00000E+00      2.65930E-07      6.86099E-09
      2.75000E+00      0.00000E+00      2.05230E-07      5.39755E-09
      3.00000E+00      0.00000E+00      1.88850E-07      4.96676E-09
      3.25000E+00      0.00000E+00      1.39180E-07      4.13365E-09
      3.50000E+00      0.00000E+00      1.45180E-07      4.00697E-09
      3.75000E+00      0.00000E+00      1.32340E-07      3.73199E-09
      4.00000E+00      0.00000E+00      1.13680E-07      2.78516E-09
      4.50000E+00      0.00000E+00      9.46400E-08      2.36600E-09
      5.00000E+00      0.00000E+00      1.00960E-07      2.52400E-09
      5.50000E+00      0.00000E+00      3.40450E-08      1.32435E-09
      6.00000E+00      0.00000E+00      4.23080E-08      1.62886E-09
      6.50000E+00      0.00000E+00      1.80560E-08      1.31989E-09
      7.00000E+00      0.00000E+00      1.94820E-08      8.74742E-10
