# entry-subent-pointer  : 22961-021-0 
# EXFOR reaction        : ['22-TI-0', ['N,X'], '0-NN-1,,DE'] 
# incident energy       : 1.24e+01 MeV 
# target                : Ti-0 
# product               : Nn-1 
# level energy          : 1.62e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : D.Schmidt 
# institute             : (2GERPTB): Physikal. Techn. Bundesanst., Braunschweig 
# reference             : (R,PTB-N-50,2006) 
# year                  : 2006 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/229/22961.x4 
# nds                   : https://nds.iaea.org/EXFOR/22961
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.62500E+00      0.00000E+00      2.71540E-07      2.53075E-08
      1.87500E+00      0.00000E+00      2.74130E-07      2.16289E-08
      2.12500E+00      0.00000E+00      3.01680E-07      1.91868E-08
      2.37500E+00      0.00000E+00      2.75610E-07      1.82178E-08
      2.62500E+00      0.00000E+00      1.87930E-07      1.05429E-08
      2.87500E+00      0.00000E+00      1.58090E-07      9.04275E-09
      3.12500E+00      0.00000E+00      1.77190E-07      8.91266E-09
      3.37500E+00      0.00000E+00      1.43680E-07      7.93114E-09
      3.62500E+00      0.00000E+00      1.35530E-07      7.53547E-09
      3.87500E+00      0.00000E+00      1.21200E-07      7.25988E-09
      4.25000E+00      0.00000E+00      1.00660E-07      4.77128E-09
      4.75000E+00      0.00000E+00      8.79750E-08      3.75653E-09
      5.25000E+00      0.00000E+00      7.13300E-08      3.33824E-09
      5.75000E+00      0.00000E+00      5.56950E-08      2.27793E-09
      6.25000E+00      0.00000E+00      4.38960E-08      1.84802E-09
      6.75000E+00      0.00000E+00      3.39620E-08      1.80338E-09
      7.25000E+00      0.00000E+00      3.62670E-08      2.13613E-09
      7.75000E+00      0.00000E+00      3.76290E-08      1.67449E-09
      8.50000E+00      0.00000E+00      4.01520E-08      1.29289E-09
      9.50000E+00      0.00000E+00      1.82220E-08      9.82166E-10
      1.05000E+01      0.00000E+00      1.13820E-08      4.79182E-10
